,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.833716614505392,1.961250024666795,1.6351267307638169
momentum_rsi,0.7813475046551687,1.788043908414557,1.397083646053589
momentum_ao,0.7783189972524307,1.0957758072740291,0.8528631275309951
volume_sma_em,0.8105248386446142,1.0233995717255913,0.8294907727418521
momentum_kama,0.4957605673537025,1.6157729436330257,0.8010365112502708
others_cr,0.9999999999999998,0.7740545333332134,0.7740545333332132
trend_ema_fast,0.624386494931815,1.1524196936675974,0.7195552932195071
volume_fi,0.8480726796004038,0.8339517519286351,0.7072516969155688
trend_aroon_ind,0.38420096357349465,1.792692618102567,0.6887542312660971
momentum_tsi,0.3879227242614522,1.7471021408973284,0.6777406220599071
trend_vortex_ind_diff,0.7034280468521472,0.8596757042907162,0.6047200015954626
volume_nvi,0.4167330318010772,1.3893003742029082,0.578967357023949
trend_kst,0.5193711340255477,1.0546642959555106,0.5477621914066694
trend_cci,0.550907535076167,0.982902474097286,0.5414883792252019
trend_ichimoku_a,0.6362027835759784,0.7498221807924813,0.4770389586071871
trend_macd_diff,0.6849829685745339,0.6011806410260531,0.41179850013956704
momentum_ppo_hist,0.6881125214626711,0.5666573569475009,0.38992402269451765
momentum_roc,0.5716855014624895,0.6576194240368315,0.37595149020196955
volatility_dcp,0.4497689276183738,0.8302228067449101,0.3734084214739746
trend_adx_pos,0.4232203490569435,0.8250023285945659,0.34915777348058336
momentum_ppo,0.8321867487278779,0.36849013147017984,0.30665260444647724
trend_vortex_ind_pos,0.4334775215392319,0.7039963123592415,0.30516657665424296
trend_sma_slow,0.21158315774726597,1.350778611395264,0.28580200401647704
volume_obv,0.548477433969516,0.5065985368048419,0.2778578655194311
momentum_stoch_rsi_k,0.22581678986495596,1.2150953412643462,0.2743889293441778
trend_macd,0.8354844402545469,0.2940901735230527,0.24570776401027028
volume_adi,0.6576782381580148,0.3613158610361543,0.2376295789048041
trend_kst_diff,0.7253461100482048,0.3156053899414022,0.2289231419042429
momentum_stoch,0.3721842032048974,0.5994955890789693,0.22312278814620679
momentum_wr,0.3721842032048974,0.5994955890789656,0.22312278814620543
trend_trix,0.53277217673428,0.41320163300991936,0.22014233344885387
trend_ema_slow,0.23381839238436272,0.7935788929489386,0.1855533409794831
momentum_stoch_signal,0.4679278100940485,0.3893818726351009,0.18220260695246246
volatility_kcp,0.5158082214302959,0.33081220917365317,0.17063565724128907
momentum_ppo_signal,0.5898353326484165,0.2880527070219866,0.16990366426659032
trend_macd_signal,0.5957074758163347,0.2628633524060578,0.15658966414643233
trend_psar_down,0.19514733037808704,0.7738735832430109,0.1510193638199979
momentum_stoch_rsi,0.16493653367852018,0.8688107118997128,0.1432986272435061
volume_mfi,0.29477399848953767,0.4117772266250966,0.12138121957921223
volatility_bbp,0.5509559505200803,0.1465307079279363,0.08073196546681641
trend_visual_ichimoku_b,0.16456116395304263,0.2131005005587317,0.035068066410920896
trend_kst_sig,0.07257082915708161,0.4093287921196245,0.029705329841987843
volume_cmf,0.4978394352472906,0.02549489806768391,0.012692365655702998
trend_visual_ichimoku_a,0.035753402985834626,0.16880066360149362,0.0060351981500205085
trend_psar_up,0.023591580483718434,0.16172569323963412,0.0038153647083479865
volatility_kch,0.46554111007770993,-0.019264293754344148,-0.008968320699260469
volatility_bbm,0.25952353361880676,-0.18040567531086887,-0.046819518341563816
trend_psar_up_indicator,0.08411498820965212,-0.6057345176951079,-0.05095135181410331
volume_vwap,0.5265927685391133,-0.09693936624145771,-0.05104756924951628
trend_adx_neg,0.022056311001278854,-2.3483997165439585,-0.051797034503408654
volume_em,0.25666604633828655,-0.20564942254505164,-0.0527832242163901
momentum_uo,0.11860317614123732,-0.5010058697128545,-0.05942088741334748
volatility_kchi,0.188699848775592,-0.33018371555215215,-0.0623056171928542
momentum_stoch_rsi_d,0.28907176351486547,-0.24535745200581552,-0.07092591134283506
others_dlr,0.16486930664527702,-0.6504788318160586,-0.10724399398894334
others_dr,0.16636032449334937,-0.6503235385043007,-0.10818803489123864
volatility_bbh,0.6312237310952068,-0.1943832171425252,-0.12269929958699452
volatility_dcl,0.6087266442824194,-0.22794777291509102,-0.13875788287825433
trend_sma_fast,0.4483082138056595,-0.4195976105146984,-0.18810905528696725
trend_psar_down_indicator,0.2726168299231417,-0.7005000023480855,-0.19096809000128837
trend_aroon_up,0.4252903354892661,-0.4540551299251447,-0.19310525853648708
volatility_dch,0.3145402273885221,-0.6149019922746107,-0.1934114124717113
trend_mass_index,0.1549884935388368,-1.299977641439997,-0.2014815762809553
volatility_kcw,0.5659356973254434,-0.39815548859925415,-0.2253304040843715
trend_ichimoku_conv,0.7454272487072942,-0.3707973342857746,-0.2764024367246438
volatility_atr,0.4568736456869686,-0.6329505259761314,-0.2891784143421995
momentum_pvo_hist,0.2153699036869347,-1.4561325376170193,-0.3136071243819893
volatility_dcm,0.4789918784855794,-0.7720504619604706,-0.36980590106010514
volatility_kcl,0.575154346167662,-0.6971429379492657,-0.40096479066161295
volatility_kcc,0.5293251550115493,-0.7625481260974631,-0.4036359050503061
trend_aroon_down,0.23272386277496776,-1.7795640373510135,-0.41414701682774485
trend_stc,0.3960320201870423,-1.175885151064886,-0.4656881718841722
trend_ichimoku_b,0.3400606131888016,-1.4220487451021229,-0.4835827682437937
trend_ichimoku_base,0.37923574032372315,-1.3730556933128222,-0.5207117923591911
trend_adx,0.43142995176462723,-1.2643540643414954,-0.5454802129922618
volatility_dcw,0.6497270648540286,-0.8540080941997485,-0.5548721724059854
volatility_ui,0.31943917984639936,-2.071189307671705,-0.6616190137492811
volatility_bbw,0.74494212594313,-1.0408329017141422,-0.77536027455449
volatility_bbl,0.6170919101666461,-1.2655395426370144,-0.7809542137572989
momentum_pvo,0.6844662383766266,-1.2875386770786315,-0.8812767550644289
trend_vortex_ind_neg,0.6527426753959388,-1.466119248358579,-0.9569986006230616
trend_dpo,0.5292039172878035,-2.23483510050238,-1.1826834896781415
momentum_pvo_signal,0.7090667563610666,-2.2039518187010714,-1.5627489672624424
